index,name,artist,release_date,length,popularity,danceability,acousticness,energy,tempo,valence
206,White Rabbit,Jefferson Airplane,1967,2.510666667,69,0.551,0.486,0.293,106.798,0.322
211,Ruby Tuesday,The Rolling Stones,1967,3.274883333,62,0.524,0.831,0.553,104.578,0.517
230,The End,The Doors,1967,11.72288333,61,0.347,0.163,0.302,105.702,0.0332
239,Brown Eyed Girl,Van Morrison,1967,3.0551,79,0.491,0.182,0.583,150.572,0.907
356,Break on Through (To the Other Side),The Doors,1967,2.4311,72,0.421,0.2,0.751,89.839,0.789
382,I Can See For Miles,The Who,1967,4.143633333,52,0.346,0.0399,0.797,130.91,0.196
395,Waterloo Sunset - Mono Mix,The Kinks,1967,3.236933333,66,0.512,0.162,0.69,107.839,0.417
402,Penny Lane - Remastered 2009,The Beatles,1967,3.014883333,66,0.651,0.212,0.488,113.038,0.49
436,Little Wing,Jimi Hendrix,1967,2.4291,71,0.515,0.181,0.534,70.776,0.426
451,With A Little Help From My Friends - Remastered 2009,The Beatles,1967,2.7351,65,0.705,0.365,0.515,112.035,0.803
472,Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,1967,3.474433333,68,0.311,0.0469,0.325,65.09,0.668
505,The Wind Cries Mary,Jimi Hendrix,1967,3.34555,64,0.499,0.348,0.495,80.086,0.339
574,All You Need Is Love - Remastered 2009,The Beatles,1967,3.839766667,66,0.4,0.346,0.48,103.436,0.653
588,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,1967,2.048216667,64,0.451,0.0857,0.673,95.513,0.583
631,Love Me Two Times,The Doors,1967,3.251766667,63,0.684,0.332,0.698,132.846,0.839
670,I'm Waiting For The Man,The Velvet Underground,1967,4.658666667,59,0.679,0.032,0.645,125.844,0.826
